algorithm,time,convergence,distortion,arithmetic intensity,n,d,k
sequential,20.5935378074646,7,0,0,60000,6,3
stock,0.6169350147247314,7,47216.564022739316,0,60000,6,3
pyCUDA,0.14986610412597656,7,0,0,60000,6,3
mpi4py,12.5089750289917,7,0,0,60000,6,3
hybrid,0.9336550235748291,7,0,0,60000,6,3
sequential,24.61030387878418,7,0,0,60000,6,4
stock,0.7694060802459717,7,42277.653585449814,0,60000,6,4
pyCUDA,0.14791202545166016,7,0,0,60000,6,4
mpi4py,12.483446836471558,7,0,0,60000,6,4
hybrid,0.9852950572967529,7,0,0,60000,6,4
sequential,28.267951011657715,7,0,0,60000,6,5
stock,0.8717069625854492,7,37430.128813570591,0,60000,6,5
pyCUDA,0.1514148712158203,7,0,0,60000,6,5
mpi4py,12.501698970794678,7,0,0,60000,6,5
hybrid,1.0693049430847168,7,0,0,60000,6,5
sequential,16.063339948654175,7,0,0,70000,3,3
stock,0.3866751194000244,7,14859.9671196161,0,70000,3,3
pyCUDA,0.1556689739227295,7,0,0,70000,3,3
mpi4py,14.024286985397339,7,0,0,70000,3,3
hybrid,1.131498098373413,7,0,0,70000,3,3
sequential,18.287267923355103,7,0,0,70000,3,4
stock,0.48017120361328125,7,10809.361519260572,0,70000,3,4
pyCUDA,0.1552448272705078,7,0,0,70000,3,4
mpi4py,14.24736499786377,7,0,0,70000,3,4
hybrid,1.2332780361175537,7,0,0,70000,3,4
sequential,21.497056007385254,7,0,0,70000,3,5
stock,0.5579280853271484,7,7226.7184945707741,0,70000,3,5
pyCUDA,0.15954089164733887,7,0,0,70000,3,5
mpi4py,14.726797103881836,7,0,0,70000,3,5
hybrid,1.1073038578033447,7,0,0,70000,3,5
sequential,23.758280992507935,7,0,0,70000,6,3
stock,0.8519101142883301,7,52933.666050074484,0,70000,6,3
pyCUDA,0.17896699905395508,7,0,0,70000,6,3
mpi4py,14.499980926513672,7,0,0,70000,6,3
hybrid,1.1766431331634521,7,0,0,70000,6,3
sequential,28.489305019378662,7,0,0,70000,6,4
stock,0.8461959362030029,7,46833.93542150662,0,70000,6,4
pyCUDA,0.16410589218139648,7,0,0,70000,6,4
mpi4py,14.554439067840576,7,0,0,70000,6,4
hybrid,1.1246650218963623,7,0,0,70000,6,4
sequential,33.171586990356445,7,0,0,70000,6,5
stock,1.2273991107940674,7,42669.96666528967,0,70000,6,5
pyCUDA,0.16856002807617188,7,0,0,70000,6,5
mpi4py,14.669214010238647,7,0,0,70000,6,5
hybrid,1.2038280963897705,7,0,0,70000,6,5
sequential,18.556849002838135,7,0,0,80000,3,3
stock,0.4103119373321533,7,16423.059900729208,0,80000,3,3
pyCUDA,0.18127202987670898,7,0,0,80000,3,3
mpi4py,16.309120893478394,7,0,0,80000,3,3
hybrid,1.1191580295562744,7,0,0,80000,3,3
sequential,21.736838817596436,7,0,0,80000,3,4
stock,0.5810179710388184,7,11463.583796257983,0,80000,3,4
pyCUDA,0.1835341453552246,7,0,0,80000,3,4
mpi4py,16.280062913894653,7,0,0,80000,3,4
hybrid,1.2367441654205322,7,0,0,80000,3,4
sequential,24.588493824005127,7,0,0,80000,3,5
stock,0.7571468353271484,7,8574.0025651045526,0,80000,3,5
pyCUDA,0.18822813034057617,7,0,0,80000,3,5
mpi4py,16.768948078155518,7,0,0,80000,3,5
hybrid,1.1236340999603271,7,0,0,80000,3,5
sequential,26.87355089187622,7,0,0,80000,6,3
stock,1.0485718250274658,7,57011.081503274931,0,80000,6,3
pyCUDA,0.2109520435333252,7,0,0,80000,6,3
mpi4py,16.481907844543457,7,0,0,80000,6,3
hybrid,1.1863529682159424,7,0,0,80000,6,3
sequential,31.941711902618408,7,0,0,80000,6,4
stock,1.3110649585723877,7,51395.472562831776,0,80000,6,4
pyCUDA,0.19681811332702637,7,0,0,80000,6,4
mpi4py,16.14744997024536,7,0,0,80000,6,4
hybrid,1.1587300300598145,7,0,0,80000,6,4
sequential,37.57251811027527,7,0,0,80000,6,5
stock,1.4207818508148193,7,45939.456035963129,0,80000,6,5
pyCUDA,0.20812392234802246,7,0,0,80000,6,5
mpi4py,16.029876947402954,7,0,0,80000,6,5
hybrid,1.129309892654419,7,0,0,80000,6,5
sequential,18.830204010009766,7,0,0,90000,3,3
stock,0.49311208724975586,7,17824.870997220634,0,90000,3,3
pyCUDA,0.2314739227294922,7,0,0,90000,3,3
mpi4py,16.570497035980225,7,0,0,90000,3,3
hybrid,1.1661899089813232,7,0,0,90000,3,3
sequential,21.85591197013855,7,0,0,90000,3,4
stock,0.6049699783325195,7,13263.008226075821,0,90000,3,4
pyCUDA,0.2296428680419922,7,0,0,90000,3,4
mpi4py,16.26660418510437,7,0,0,90000,3,4
hybrid,1.1730928421020508,7,0,0,90000,3,4
sequential,24.102707862854004,7,0,0,90000,3,5
stock,0.8686850070953369,7,10090.670206738294,0,90000,3,5
pyCUDA,0.20894503593444824,7,0,0,90000,3,5
mpi4py,17.129979133605957,7,0,0,90000,3,5
hybrid,1.2564549446105957,7,0,0,90000,3,5
sequential,26.752104997634888,7,0,0,90000,6,3
stock,0.8737170696258545,7,60678.990956523368,0,90000,6,3
pyCUDA,0.22552990913391113,7,0,0,90000,6,3
mpi4py,16.63892102241516,7,0,0,90000,6,3
hybrid,1.3305158615112305,7,0,0,90000,6,3
sequential,32.39745593070984,7,0,0,90000,6,4
stock,1.0797960758209229,7,54238.134879676734,0,90000,6,4
pyCUDA,0.2268829345703125,7,0,0,90000,6,4
mpi4py,16.574692964553833,7,0,0,90000,6,4
hybrid,1.253194808959961,7,0,0,90000,6,4
sequential,37.563215017318726,7,0,0,90000,6,5
stock,1.5091710090637207,7,49254.081591566159,0,90000,6,5
pyCUDA,0.21645784378051758,7,0,0,90000,6,5
mpi4py,16.72847294807434,7,0,0,90000,6,5
hybrid,1.2084259986877441,7,0,0,90000,6,5
